Source/Request	Already?	Know? (grade)	APP	POPULAR	Title	Artist	Other Artist	Papon Artist	Duplicate	Year	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
					Doo Doo Doo Doo Doo (Heartbreaker)																		CRF
					Doo Wop (That Thing)																		RBF
05/07/16 Irizarry wedding					Double Dutch bus							NO											
PRF 4th only					Down In The Boondocks																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Down On The Corner						60-70												yes
PRF 3rd only					Downtown																		PRF
					Draw The Line																		CRF
					Dream Baby (How Long Must I Dream)																		PRF
			Y		Forever Young	Rod Stewart				1988		Pop											CRF
					Dreamer																		CRF
					Dreamlover																		RBF
					Dreamlover																		PRF
PRF 3rd only			Y		Have I Told You Lately	Rod Stewart				1991		Adult contemporary											PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Drift Away						60-70												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Drive By						10s			X	Etzel								yes
					Drive My Car						60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Drops of Jupiter						90s	Favorites											yes
					Duke Of Earl																		RBF
					Duke Of Earl																		PRF
05/14/16 Fleischman party	X		Y		Maggie Mae	Rod Stewart							X										
					Dust In The Wind																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Dynomite						10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Blurred Lines	Robin Thicke					10s												yes
PRF 4th only					Easier Said Than Done																		PRF
					Easy																		RBF
PRF 4th only					Easy Lover																		
05/07/16 Irizarry wedding	X	A	Y		Killing Me Softly	Roberta Flack						R&B											FB
					Eddie Walker						90s												BF Scores
Tuzzy Braddy/Tuz Piano 6/7/16					Edge of Glory						10s												yes
					Eight Days A Week						60s-70s												BFB
05/07/16 Irizarry wedding		B	Y		the first time I ever saw your face	Roberta Flack																	FB
PRF 3rd only			Y		Addicted to Love	Robert Palmer				1985		Rock											PRF
					Eleanor Rigby						60s-70s												BFB
PRF 4th only					Elenore																		PRF
PRF 4th only					Elvira																		
					Emaline						90s												BF Scores
					Emaline						90s												BF Scores
					Emotion																		RBF
					Emotional Rescue																		CRF
					Emotions																		RBF
PRF 3rd only					End of the Road																		PRF
PRF 4th only			Y		La Bamba	Richie Valens																	PRF 4th (don't have)
					Endless Love (from ENDLESS LOVE)																		RBF
					Endless Love (from ENDLESS LOVE)																		PRF
					Eternal Flame																		PRF
					Evaporated						90s												BF Scores
05/14/16 Fleischman party	X				Every Breath You Take																		
																							
					Every Breath You Take																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Every Breath You Take						80s												yes
